,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song
18631,,,,,,,,,,,,,,,,Bonnie Boyer,['Bonnie Boyer'],Got To Give In To Love
18633,"['europop', 'swedish pop']",,,,,,,,,,,,,,,ABBA,['ABBA'],Voulez-Vous
18636,,,,,,,,,,,,,,,,Funky Communication Committee,['Funky Communication Committee'],Baby I Want You
18643,"['british invasion', 'comic', 'parody']",,,,,,,,,,,,,,,The Barron Knights,['The Barron Knights'],The Topical Song
18649,"['alternative rock', 'anti-folk', 'athens indie', 'chamber pop', 'e6fi', 'freak folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'noise pop']",,,,,,,,,,,,,,,Hotel,['Hotel'],You've Got Another Thing Coming
18653,,,,,,,,,,,,,,,,Beckmeier Brothers,['Beckmeier Brothers'],Rock And Roll Dancin'
18657,"['british blues', 'canadian blues']",,,,,,,,,,,,,,,Long John Baldry,"['Long John Baldry', 'Kathi MacDonald']",You've Lost That Lovin' Feelin'
18662,,,,,,,,,,,,,,,,Earth,"['Earth', ' Wind', 'Fire', 'The Emotions']",Boogie Wonderland
18663,['modern southern rock'],,,,,,,,,,,,,,,Blackjack,['Blackjack'],Love Me Tonight
18675,"['bubblegum pop', 'classic uk pop', 'country rock']",,,,,,,,,,,,,,,Tony Orlando,['Tony Orlando'],Sweets For My Sweet
18686,[],,,,,,,,,,,,,,,Samantha Sang,['Samantha Sang'],In The Midnight Hour
18687,,,,,,,,,,,,,,,,Randy VanWarmer,['Randy VanWarmer'],Just When I Needed You Most
18695,"['disco', 'hi-nrg']",,,,,,,,,,,,,,,Amii Stewart,['Amii Stewart'],Light My Fire/137 Disco Heaven
18703,,,,,,,,,,,,,,,,Cooper Brothers Band,['Cooper Brothers Band'],I'll Know Her When I See Her
18716,"['classic soul', 'disco', 'funk', 'post-disco', 'quiet storm']",,,,,,,,,,,,,,,G.Q.,['G.Q.'],Disco Nights (Rock-Freak)
18729,"['deep disco', 'hi-nrg']",,,,,,,,,,,,,,,Claudja Barry,['Claudja Barry'],Boogie Woogie Dancin' Shoes
18739,[],,,,,,,,,,,,,,,Alton McClain,"['Alton McClain', 'Destiny']",It Must Be Love
18742,[],,,,,,,,,,,,,,,Saint Tropez,['Saint Tropez'],One More Minute
18756,,,,,,,,,,,,,,,,Cheryl Barnes/Hair Soundtrack,['Cheryl Barnes/Hair Soundtrack'],Easy To Be Hard
18769,[],,,,,,,,,,,,,,,Taka Boom,['Taka Boom'],Night Dancin'
18773,,,,,,,,,,,,,,,,Bill Wray,['Bill Wray'],"Pinball, That's All"
18779,,,,,,,,,,,,,,,,Errol Sober,['Errol Sober'],Heart To Heart
18783,,,,,,,,,,,,,,,,Donna Summer,"['Donna Summer', 'Brooklyn Dreams']",Heaven Knows
18785,[],,,,,,,,,,,,,,,Ironhorse,['Ironhorse'],Sweet Lui-Louise
18791,"['disney', 'hollywood']",,,,,,,,,,,,,,,Bell,"['Bell', 'James']",Livin' It Up (Friday Night)
18796,"['bubblegum pop', 'comic', 'country rock', 'novelty']",,,,,,,,,,,,,,,Ray Stevens,['Ray Stevens'],I Need Your Help Barry Manilow
18799,['country rock'],,,,,,,,,,,,,,,Exile,['Exile'],How Could This Go Wrong
18803,['country rock'],,,,,,,,,,,,,,,Ian Matthews,['Ian Matthews'],Give Me An Inch
18806,,,,,,,,,,,,,,,,Orsa Lia,['Orsa Lia'],I Never Said I Love You
18807,[],,,,,,,,,,,,,,,AWB,['AWB'],Walk On By
18815,[],,,,,,,,,,,,,,,Randy Brown,['Randy Brown'],You Says It All
18817,['audiophile vocal'],,,,,,,,,,,,,,,Livingston Taylor,['Livingston Taylor'],I'll Come Running
18826,,,,,,,,,,,,,,,,The Marc Tanner Band,['The Marc Tanner Band'],Elena
18839,,,,,,,,,,,,,,,,The Faragher Bros.,['The Faragher Bros.'],Stay The Night
18840,[],,,,,,,,,,,,,,,BTO,['BTO'],Heartaches
18841,,,,,,,,,,,,,,,,Eric Clapton,"['Eric Clapton', 'His Band']",Watch Out For Lucy
18842,[],,,,,,,,,,,,,,,Arpeggio,['Arpeggio'],Love And Desire (Part I)
18845,,,,,,,,,,,,,,,,Desmond Child,"['Desmond Child', 'Rouge']",Our Love Is Insane
18856,[],,,,,,,,,,,,,,,T.M.G.,['T.M.G.'],Lazy Eyes
18861,,,,,,,,,,,,,,,,Nancy Brooks,['Nancy Brooks'],I'm Not Gonna Cry Anymore
18875,[],,,,,,,,,,,,,,,Zwol,['Zwol'],Call Out My Name
18879,[],,,,,,,,,,,,,,,The Wonder Band,['The Wonder Band'],Whole Lotta Love
18883,"['pop', 'r&b', 'soul']",,,,,,,,,,,,,,,Michael Jackson,['Michael Jackson'],You Can't Win (Part 1)
18886,,,,,,,,,,,,,,,,Stonebolt,['Stonebolt'],Love Struck
18888,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",,,,,,,,,,,,,,,Diana Ross,"['Diana Ross', ' Marvin Gaye', ' Smokey Robinson', 'Stevie Wonder']","Pops, We Love You (A Tribute To Father)"
18904,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'motown', 'northern soul', 'rock-and-roll']",,,,,,,,,,,,,,,Frankie Valli,['Frankie Valli'],Fancy Dancer
18907,['disco'],,,,,,,,,,,,,,,Bonnie Pointer,['Bonnie Pointer'],Free Me From My Freedom/Tie Me To A Tree (Handcuff Me)
18914,,,,,,,,,,,,,,,,The London Symphony Orchestra/John Williams,['The London Symphony Orchestra/John Williams'],Theme From Superman (Main Title)
18915,['sydney indie'],,,,,,,,,,,,,,,The Raes,['The Raes'],A Little Lovin' (Keeps The Doctor Away)
18916,,,,,,,,,,,,,,,,Eric Clapton,"['Eric Clapton', 'His Band']",Promises
18927,[],,,,,,,,,,,,,,,Glenn Sutton,['Glenn Sutton'],The Football Card
18939,"['glam rock', 'rock']",,,,,,,,,,,,,,,Queen,['Queen'],Bicycle Race/Fat Bottomed Girls
18946,,,,,,,,,,,,,,,,Boney M.,['Boney M.'],Mary's Boy Child / Oh My Lord
18947,[],,,,,,,,,,,,,,,Cooper Brothers,['Cooper Brothers'],The Dream Never Dies
18957,[],,,,,,,,,,,,,,,The Blend,['The Blend'],I'm Gonna Make You Love Me
18961,,,,,,,,,,,,,,,,Dan Fogelberg/Tim Weisberg,['Dan Fogelberg/Tim Weisberg'],The Power Of Gold
18962,"['glam rock', 'mellow gold', 'piano rock']",,,,,,,,,,,,,,,Elton John,['Elton John'],Part-Time Love
18963,[],,,,,,,,,,,,,,,Don Ray,['Don Ray'],Got To Have Loving
18970,,,,,,,,,,,,,,,,Jimmy Buffett,['Jimmy Buffett'],Ma̱ana
18981,"['bubblegum pop', 'soft rock']",,,,,,,,,,,,,,,Mary Macgregor,['Mary Macgregor'],The Wedding Song (There Is Love)
18982,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",,,,,,,,,,,,,,,Paul Anka,['Paul Anka'],This Is Love
18985,"['funk', 'funk rock', 'p funk', 'psychedelic rock', 'soul']",,,,,,,,,,,,,,,Funkadelic,['Funkadelic'],One Nation Under A Groove - Part I
18992,,,,,,,,,,,,,,,,James Walsh Gypsy Band,['James Walsh Gypsy Band'],"Cuz It's You, Girl"
19002,,,,,,,,,,,,,,,,Peter Tosh with Mick Jagger,['Peter Tosh with Mick Jagger'],(You Got To Walk And) Don't Look Back
19003,,,,,,,,,,,,,,,,Loleatta Holloway,"['Loleatta Holloway', 'Bunny Sigler']",Only You
19007,[],,,,,,,,,,,,,,,Gene Cotton,['Gene Cotton'],Like A Sunday In Salem (The Amos & Andy Song)
19021,,,,,,,,,,,,,,,,John Travolta,"['John Travolta', ' Olivia Newton-John', 'Grease Cast']",Summer Nights
19025,[],,,,,,,,,,,,,,,Meco,['Meco'],Themes From The Wizard Of Oz
19029,,,,,,,,,,,,,,,,Peter Brown,"['Peter Brown', 'Betty Wright']",You Should Do It
19032,"['soft rock', 'yacht rock']",,,,,,,,,,,,,,,Starbuck,['Starbuck'],Searching For A Thrill
19034,"['diva house', 'hip house']",,,,,,,,,,,,,,,Judy Cheeks,['Judy Cheeks'],Mellow Lovin'
19035,[],,,,,,,,,,,,,,,Zwol,['Zwol'],New York City
19036,,,,,,,,,,,,,,,,Stonebolt,['Stonebolt'],I Will Still Love You
19047,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']",,,,,,,,,,,,,,,The Beatles,['The Beatles'],Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends
19048,['soft rock'],,,,,,,,,,,,,,,Robin Gibb,['Robin Gibb'],Oh! Darling
19049,[],,,,,,,,,,,,,,,City Boy,['City Boy'],5.7.0.5.
19051,"['cancion melodica', 'latin', 'latin pop']",,,,,,,,,,,,,,,Gabriel,['Gabriel'],Martha (Your Lovers Come And Go)
19053,[],,,,,,,,,,,,,,,John Belushi,['John Belushi'],"Louie, Louie"
19054,['deep disco'],,,,,,,,,,,,,,,Bob Mcgilpin,['Bob Mcgilpin'],When You Feel Love
19083,,,,,,,,,,,,,,,,ConFunkShun,['ConFunkShun'],Shake And Dance With Me
19090,,,,,,,,,,,,,,,,Louisiana's LeRoux,"[""Louisiana's LeRoux""]",New Orleans Ladies
19094,,,,,,,,,,,,,,,,Boney M.,['Boney M.'],Rivers Of Babylon
19098,[],,,,,,,,,,,,,,,Teri DeSario,['Teri DeSario'],Ain't Nothing Gonna Keep Me From You
19099,['alberta country'],,,,,,,,,,,,,,,The Dirt Band,['The Dirt Band'],In For The Night
19104,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",,,,,,,,,,,,,,,Jackson Browne,['Jackson Browne'],Stay/The Load-Out
19110,,,,,,,,,,,,,,,,Mick Jackson,['Mick Jackson'],Blame It On The Boogie
19113,,223.44,False,0.943,0.684,6.0,-6.924,1.0,0.126,0.156,0.00359,0.081,0.8459999999999999,111.945,12.0,Peter Brown,"['Peter Brown', 'Betty Wright']",Dance With Me
19115,,,,,,,,,,,,,,,,Kristy,"['Kristy', 'Jimmy McNichol']",He's So Fine
19117,,,,,,,,,,,,,,,,Gene Cotton,"['Gene Cotton', 'Kim Carnes']",You're A Part Of Me
19126,[],,,,,,,,,,,,,,,Paul Nicholas,['Paul Nicholas'],On The Strip
19127,,,,,,,,,,,,,,,,The Tarney/Spencer Band,['The Tarney/Spencer Band'],It's Really You
19142,"['classic uk pop', 'europop']",,,,,,,,,,,,,,,Demis Roussos,['Demis Roussos'],That Once In A Lifetime
19146,['psychobilly'],,,,,,,,,,,,,,,Spellbound,['Spellbound'],Rumor At The Honky Tonk
19148,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'yacht rock']",,,,,,,,,,,,,,,Steely Dan,['Steely Dan'],FM (No Static At All)
19165,,,,,,,,,,,,,,,,Johnny Mathis/Deniece Williams,['Johnny Mathis/Deniece Williams'],"Too Much, Too Little, Too Late"
19167,,,,,,,,,,,,,,,,Joey Travolta,['Joey Travolta'],I Don't Wanna Go
19174,"['dance rock', 'dusseldorf electronic', 'electro', 'krautrock', 'new romantic', 'new wave', 'proto-techno', 'synthpop']",,,,,,,,,,,,,,,Kraftwerk,['Kraftwerk'],Trans-europe Express
19183,"['afro house', 'gospel', 'haitian gospel', 'kwaito', 'kwaito house', 'naija worship', 'south african choral', 'south african gospel', 'south african pop', 'world worship']",,,,,,,,,,,,,,,Celebration,"['Celebration', 'Mike Love']",Almost Summer
19186,['bubblegum pop'],,,,,,,,,,,,,,,Debby Boone,['Debby Boone'],"God Knows/Baby, I'm Yours"
19189,"['emo', 'pop rock', 'socal pop punk']",,,,,,,,,,,,,,,Airwaves,['Airwaves'],So Hard Livin' Without You
19195,,280.829,False,0.4909999999999999,0.317,9.0,-13.762,1.0,0.03,0.7189999999999999,3e-06,0.0403,0.203,121.365,21.0,Roberta Flack,"['Roberta Flack', 'Donny Hathaway']",The Closer I Get To You
19203,[],,,,,,,,,,,,,,,Gary Tanner,['Gary Tanner'],Over The Rainbow
19208,"['anthem emo', 'diy emo', 'pop punk']",,,,,,,,,,,,,,,Kayak,['Kayak'],I Want You To Be Mine
19235,[],,,,,,,,,,,,,,,Allan Clarke,['Allan Clarke'],(I Will Be Your) Shadow In The Street
19238,,,,,,,,,,,,,,,,Continental Miniatures,['Continental Miniatures'],Stay Awhile
19246,[],,,,,,,,,,,,,,,Kongas,['Kongas'],Africanism/Gimme Some Lovin'
19265,"['classic soul', 'northern soul', 'philly soul']",,,,,,,,,,,,,,,Bunny Sigler,['Bunny Sigler'],"Let Me Party With You (Part 1) (Party, Party, Party)"
19272,"['deep disco', 'disco', 'post-disco']",,,,,,,,,,,,,,,Stargard,['Stargard'],"Theme Song From ""Which Way Is Up"""
19275,"['album rock', 'canadian country', 'canadian folk', 'canadian singer-songwriter', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",,,,,,,,,,,,,,,Gordon Lightfoot,['Gordon Lightfoot'],The Circle Is Small (I Can See It In Your Eyes)
19282,,,,,,,,,,,,,,,,Art Garfunkel,"['Art Garfunkel', 'James Taylor', 'Paul Simon']",(What A)  Wonderful World
19283,"['deep disco', 'hi-nrg']",,,,,,,,,,,,,,,Claudja Barry,['Claudja Barry'],Dancin' Fever
19284,"['blues rock', 'country rock', 'jam band', 'roots rock']",,,,,,,,,,,,,,,Bob Weir,['Bob Weir'],Bombs Away
19286,[],,,,,,,,,,,,,,,Don Brown,['Don Brown'],Sitting In Limbo
19292,['bubblegum pop'],,,,,,,,,,,,,,,Leif Garrett,['Leif Garrett'],Put Your Head On My Shoulder
19304,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",,,,,,,,,,,,,,,James Taylor,['James Taylor'],Honey Don't Leave L.a.
19307,['motown'],,,,,,,,,,,,,,,High Inergy,['High Inergy'],Love Is All You Need
19312,['northern soul'],,,,,,,,,,,,,,,Eloise Laws,['Eloise Laws'],Number One
19316,[],,,,,,,,,,,,,,,Cazz,['Cazz'],Let's Live Together
19317,,,,,,,,,,,,,,,,Bobby Arvon,['Bobby Arvon'],Until Now
19321,"['adult standards', 'mellow gold', 'new wave pop', 'soft rock']",,,,,,,,,,,,,,,Bette Midler,['Bette Midler'],Storybook Children (Daybreak)
19325,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic country pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",,,,,,,,,,,,,,,B.J. Thomas,['B.J. Thomas'],Everybody Loves A Rain Song
19328,,,,,,,,,,,,,,,,Santa Esmeralda Starring Leroy Gomez,['Santa Esmeralda Starring Leroy Gomez'],Don't Let Me Be Misunderstood
19329,,,,,,,,,,,,,,,,ConFunkShun,['ConFunkShun'],Ffun
19334,,,,,,,,,,,,,,,,Le Pamplemousse,['Le Pamplemousse'],Le Spank
19335,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']",,,,,,,,,,,,,,,Hot,['Hot'],You Brought The Woman Out Of Me
19345,[],,,,,,,,,,,,,,,Stillwater,['Stillwater'],Mind Bender
19349,"['brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'soft rock']",,,,,,,,,,,,,,,Johnny Rivers,['Johnny Rivers'],"Curious Mind (Um, Um, Um, Um, Um, Um)"
19350,"['album rock', 'blues rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock', 'southern rock']",,,,,,,,,,,,,,,Ted Nugent,['Ted Nugent'],Home Bound
19356,['northern soul'],,,,,,,,,,,,,,,Eloise Laws,['Eloise Laws'],"1,000 Laughs"
19360,['reggaeton'],,,,,,,,,,,,,,,LTD,['LTD'],(Every Time I Turn Around) Back In Love Again
19372,['contemporary vocal jazz'],,,,,,,,,,,,,,,Marilyn Scott,['Marilyn Scott'],God Only Knows
19379,[],,,,,,,,,,,,,,,Kellee Patterson,['Kellee Patterson'],"If It Don't Fit, Don't Force It"
19386,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'folk rock', 'mellow gold', 'rock', 'soft rock']",,,,,,,,,,,,,,,Wings,['Wings'],Girls' School
19391,,207.902,False,0.658,0.557,10.0,-13.874,1.0,0.038,0.0186,0.0639,0.194,0.646,132.993,0.0,The Steve Miller Band,['The Steve Miller Band'],Swingtown
19395,[],,,,,,,,,,,,,,,Paul Nicholas,['Paul Nicholas'],Heaven On The 7th Floor
19399,[],,,,,,,,,,,,,,,Cheech,"['Cheech', 'Chong']",Bloat On Featuring the Bloaters
19403,[],,,,,,,,,,,,,,,David Castle,['David Castle'],The Loneliest Man On The Moon
19424,[],,,,,,,,,,,,,,,Meco,['Meco'],Star Wars Theme/Cantina Band
19425,[],,,0.7029999999999998,0.804,4.0,-11.354,0.0,0.0624,0.000206,0.0112,0.3539999999999999,0.441,98.074,,Peter Brown,['Peter Brown'],Do Ya Wanna Get Funky With Me
19427,['deep disco'],,,,,,,,,,,,,,,Brooklyn Dreams,['Brooklyn Dreams'],Sad Eyes
19439,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic country pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",,,,,,,,,,,,,,,B.J. Thomas,['B.J. Thomas'],Still The Lovin' Is Fun
19440,,,,,,,,,,,,,,,,Kacey Cisyk/Original Cast,['Kacey Cisyk/Original Cast'],You Light Up My Life
19469,"['classic soul', 'disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']",,,,,,,,,,,,,,,Rose Royce,['Rose Royce'],Do Your Dance - Part 1
19472,"['calming instrumental', 'piano cover']",,,,,,,,,,,,,,,Tom Powers,['Tom Powers'],It Ain't Love
19473,[],,,,,,,,,,,,,,,David Castle,['David Castle'],Ten To Eight
19477,,187.079,True,0.644,0.79,7.0,-13.115,0.0,0.0469,0.00187,0.802,0.507,0.86,145.903,0.0,The Steve Miller Band,['The Steve Miller Band'],Jungle Love
19478,,,,,,,,,,,,,,,,Rita Coolidge,['Rita Coolidge'],(Your Love Has Lifted Me) Higher And Higher
19479,[],,,,,,,,,,,,,,,Alan O'Day,"[""Alan O'Day""]","Started Out Dancing, Ended Up Making Love"
19482,"['classical', 'classical performance', 'orchestra']",,,,,,,,,,,,,,,London Symphony Orchestra,['London Symphony Orchestra'],Star Wars (Main Title)
19489,['album rock'],,,,,,,,,,,,,,,Roger Daltrey,['Roger Daltrey'],Avenging Annie
19493,[],,,,,,,,,,,,,,,Kate Taylor,['Kate Taylor'],It's In His Kiss (The Shoop Shoop Song)
19494,,,,,,,,,,,,,,,,The Sanford/Townsend Band,['The Sanford/Townsend Band'],Smoke From A Distant Fire
19496,,141.0,False,0.4739999999999999,0.884,0.0,-8.608,1.0,0.0405,0.437,0.00046,0.338,0.959,189.534,24.0,Robert Gordon,"['Robert Gordon', 'Link Wray']",Red Hot
19503,['sunshine pop'],,,,,,,,,,,,,,,Addrisi Brothers,['Addrisi Brothers'],Does She Do It Like She Dances
19504,"['afrobeat', 'funk', 'jazz funk', 'new orleans funk', 'soul jazz']",,,,,,,,,,,,,,,Idris Muhammad,['Idris Muhammad'],Could Heaven Ever Be Like This (Part 1)
19509,"['classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'southern soul']",,,,,,,,,,,,,,,Ohio Players,['Ohio Players'],O-H-I-O
19513,"['christian relaxative', 'classic praise', 'world worship', 'worship']",,,,,,,,,,,,,,,Lenny LeBlanc,['Lenny LeBlanc'],Hound Dog Man (Play It Again)
19519,,,,,,,,,,,,,,,,Marilyn McCoo,"['Marilyn McCoo', 'Billy Davis Jr.']",Look What You've Done To My Heart
19520,,,,,,,,,,,,,,,,Karen Nelson,"['Karen Nelson', 'Billy T']",Love Me One More Time (Just For Old Times Sake)
19533,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']",,,,,,,,,,,,,,,Hot,['Hot'],The Right Feeling At The Wrong Time
19535,[],,,,,,,,,,,,,,,Sam Neely,['Sam Neely'],Sail Away
19542,"['garage rock', 'indie pop', 'indie rock', 'modern rock', 'piano rock', 'rock', 'stomp and holler']",,,,,,,,,,,,,,,War,['War'],L.a. Sunshine
19550,,,,,,,,,,,,,,,,Boney M.,['Boney M.'],Ma Baker
19565,,234.146,False,0.7419999999999999,0.897,5.0,-5.387,1.0,0.0312,0.0968,0.0,0.0850999999999999,0.888,123.032,2.0,The Steve Miller Band,['The Steve Miller Band'],Jet Airliner
19579,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']",,,,,,,,,,,,,,,Marvin Gaye,['Marvin Gaye'],Got To Give It Up (Pt. I)
19581,"['contemporary country', 'country pop', 'country road', 'modern country rock']",,,,,,,,,,,,,,,Hodges,"['Hodges', ' James', 'Smith']",Since I Fell For You/I'm Falling In Love
19586,"['adult standards', 'mellow gold', 'soft rock']",,,,,,,,,,,,,,,Rod Stewart,['Rod Stewart'],The Killing Of Georgie (Part I And II)
19588,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']",,,,,,,,,,,,,,,Paul Anka,['Paul Anka'],Everybody Ought To Be In Love
19592,[],,,,,,,,,,,,,,,Bruce Foster,['Bruce Foster'],Platinum Heroes
19599,[],,,,,,,,,,,,,,,Steve Sperry,['Steve Sperry'],Flame
19601,['nc hip hop'],,,,,,,,,,,,,,,Wildfire,['Wildfire'],Here Comes Summer
19605,['bubblegum pop'],,,,,,,,,,,,,,,Merrilee Rush,['Merrilee Rush'],Save Me
19610,,,,,,,,,,,,,,,,Suzy,"['Suzy', 'The Red Stripes']",Seaside Woman
19618,"['big band', 'jazz orchestra', 'jazz trumpet']",,,,,,,,,,,,,,,Maynard Ferguson,['Maynard Ferguson'],"Gonna Fly Now (Theme From ""Rocky"")"
19624,"['adult standards', 'mellow gold', 'new wave pop', 'soft rock']",,,,,,,,,,,,,,,Bette Midler,['Bette Midler'],You're Movin' Out Today
19628,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",,,,,,,,,,,,,,,Shalamar,['Shalamar'],Uptown Festival (Part 1)
19636,"['country rock', 'folk', 'folk rock', 'mellow gold', 'outlaw country', 'roots rock', 'singer-songwriter', 'traditional folk']",,,,,,,,,,,,,,,Kris Kristofferson,['Kris Kristofferson'],Watch Closely Now
19638,['classic uk pop'],,,,,,,,,,,,,,,John Miles,['John Miles'],Slowdown
19639,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",,,,,,,,,,,,,,,Aretha Franklin,['Aretha Franklin'],Break It To Me Gently
19640,,,,,,,,,,,,,,,,Chuck Mangione,"['Chuck Mangione', 'The Hamilton Philharmonic Orchestra']",Land Of Make Believe
19643,"['album rock', 'art rock', 'british blues', 'classic rock', 'hard rock', 'progressive rock', 'symphonic rock']",,,,,,,,,,,,,,,Manfred Mann's Earth Band,"[""Manfred Mann's Earth Band""]",Spirit In The Night
19647,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",,,,,,,,,,,,,,,The Isley Brothers,['The Isley Brothers'],The Pride (Part I)
19653,"['bubblegum pop', 'classic country pop']",,,,,,,,,,,,,,,Marie Osmond,['Marie Osmond'],This Is The Way That I Feel
19672,,,,,,,,,,,,,,,,Marilyn McCoo,"['Marilyn McCoo', 'Billy Davis Jr.']",Your Love
19679,"['classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",,,,,,,,,,,,,,,Undisputed Truth,['Undisputed Truth'],You + Me = Love/Let's Go Down To The Disco
19682,"['beach music', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']",,,,,,,,,,,,,,,Jerry Butler,['Jerry Butler'],I Wanna Do It To You
19688,"['alternative rock', 'anti-folk', 'art rock', 'boston rock', 'dance rock', 'experimental', 'experimental rock', 'folk rock', 'garage rock', 'indie rock', 'lo-fi', 'new wave', 'noise pop', 'protopunk', 'psychedelic rock', 'punk', 'punk blues', 'rock']",,,,,,,,,,,,,,,The Lovers,['The Lovers'],Discomania
19693,[],,,,,,,,,,,,,,,B.W. Stevenson,['B.W. Stevenson'],Down To The Station
19694,[],,,,,,,,,,,,,,,Carl Graves,['Carl Graves'],Sad Girl
19697,[],,,,,,,,,,,,,,,Henry Mancini,"['Henry Mancini', 'His Orchestra']",(Theme from) Charlie's Angels
19698,"['indie garage rock', 'indie pop']",,,,,,,,,,,,,,,Current,['Current'],"Theme From ""Rocky"" (Gonna Fly Now)"
19700,"['album rock', 'art rock', 'canadian psychedelic', 'glam rock', 'progressive rock', 'symphonic rock']",,,,,,,,,,,,,,,Klaatu,['Klaatu'],Sub-rosa Subway/calling Occupants
19703,,,,,,,,,,,,,,,,The Hues Corporation,['The Hues Corporation'],I Caught Your Act
19705,[],,,,,,,,,,,,,,,Facts Of Life,['Facts Of Life'],Sometimes
19706,"['houston rap', 'pop', 'pop rap', 'trap queen']",,,,,,,,,,,,,,,Stallion,['Stallion'],Old Fashioned Boy (You're The One)
19707,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'folk rock', 'mellow gold', 'rock', 'soft rock']",,,,,,,,,,,,,,,Wings,['Wings'],Maybe I'm Amazed
19709,,,,,,,,,,,,,,,,Wilton Place Street Band,['Wilton Place Street Band'],Disco Lucy (i Love Lucy Theme)
19710,['disco'],,,,,,,,,,,,,,,Andrea True Connection,['Andrea True Connection'],"N.y., You Got Me Dancing"
19711,,,,,,,,,,,,,,,,Cody Jameson,['Cody Jameson'],Brooklyn
19722,,,,,,,,,,,,,,,,Anson Williams,['Anson Williams'],Deeply
19725,[],,,,,,,,,,,,,,,Mesa,['Mesa'],Sailing Ships
19730,"['adult standards', 'disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",,,,,,,,,,,,,,,Quincy Jones,['Quincy Jones'],"""Roots"" Medley"
19731,"['disco', 'disco house', 'hi-nrg', 'post-disco', 'vintage french electronic']",,,,,,,,,,,,,,,Cerrone,['Cerrone'],Love In 'C' Minor - Pt. I
19733,"['brostep', 'edm', 'electro house', 'electronic trap', 'vapor twitch']",,,,,,,,,,,,,,,Champagne,['Champagne'],Rock And Roll Star
19742,"['funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'soul blues', 'southern soul']",,,,,,,,,,,,,,,Johnnie Taylor,['Johnnie Taylor'],Love Is Better In The A.M. (Part 1)
19744,,,,,,,,,,,,,,,,The Heart,"['The Heart', 'Soul Orchestra']",Love In 'C' Minor
19753,['deep soft rock'],,,,,,,,,,,,,,,Kerry Chater,['Kerry Chater'],Part Time Love
19760,,,,,,,,,,,,,,,,Billy Lemmons,['Billy Lemmons'],Six Packs A Day
19762,['neo-singer-songwriter'],,,,,,,,,,,,,,,Charlene,['Charlene'],It Ain't Easy Comin' Down
19764,"['dance pop', 'disco', 'europop', 'hi-nrg', 'motown', 'new wave pop']",,,,,,,,,,,,,,,Donna Summer,['Donna Summer'],Spring Affair/Winter Melody
19766,"['adult standards', 'rock-and-roll', 'rockabilly']",,,,,,,,,,,,,,,Elvis Presley,['Elvis Presley'],Moody Blue/she Thinks I Still Care
19770,['disco'],,,,,,,,,,,,,,,Dr. Buzzard's Original Savannah Band,"[""Dr. Buzzard's Original Savannah Band""]",Whispering/Cherchez La Femme/Se Si Bon
